NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2015-09-02 using ATNF Pulsar Catalogue web form
# Used "Short csv without errors" output
# Conditions "DM > 0 && P0 > 0"
# Return fields Name, RaJD, DecJD, P0, DM
# Removed second line (units) from resulting output
# Changed "#" in first line to "NUM"
1;J0006+1834;1.520000;18.583056;0.693748;12.00;
2;B0011+47;3.573958;47.775944;1.240699;30.85;
3;J0023+0923;5.820375;9.390050;0.003050;14.30;
4;B0021-72C;5.959805;-72.075415;0.005757;24.60;
5;B0021-72D;6.057831;-72.078845;0.005358;24.73;
6;B0021-72E;6.046265;-72.088927;0.003536;24.23;
7;B0021-72F;6.016058;-72.078557;0.002624;24.38;
8;B0021-72G;6.033161;-72.077692;0.004040;24.44;
9;B0021-72H;6.027922;-72.068554;0.003210;24.36;
10;B0021-72I;6.033054;-72.077686;0.003485;24.42;
11;B0021-72J;5.997531;-72.066331;0.002101;24.58;
12;B0021-72L;6.015713;-72.082476;0.004346;24.38;
13;B0021-72M;5.977032;-72.091872;0.003677;24.42;
14;B0021-72N;6.038277;-72.074689;0.003054;24.56;
15;J0024-7204O;6.019380;-72.081599;0.002643;24.36;
16;J0024-7204P;6.023625;-72.081283;0.003643;24.30;
17;J0024-7204Q;6.068705;-72.073654;0.004033;24.29;
18;J0024-7204R;6.023625;-72.081283;0.003480;24.40;
19;J0024-7204S;6.016575;-72.078428;0.002830;24.35;
20;J0024-7204T;6.035617;-72.077479;0.007588;24.39;
21;J0024-7204U;6.040980;-72.066577;0.004343;24.34;
22;J0024-7204V;6.023625;-72.081283;0.004810;24.10;
23;J0024-7204W;6.025292;-72.080283;0.002352;24.30;
24;J0024-7204X;6.023625;-72.081283;0.004771;24.00;
25;J0024-7204Y;6.023625;-72.081283;0.002197;24.20;
26;J0024-7204Z;6.023625;-72.081283;0.004554;24.47;
27;J0026+6320;6.710671;63.333575;0.318358;230.31;
28;J0030+0451;7.614293;4.861039;0.004865;4.33;
29;J0033+57;8.250000;57.000000;0.315000;76.00;
30;J0033+61;8.250000;61.000000;0.912000;37.00;
31;J0034-0534;8.590951;-5.576839;0.001877;13.77;
32;B0031-07;8.536960;-7.364836;0.942951;11.38;
33;J0034+69;8.500000;69.716667;0.036804;80.00;
34;B0037+56;10.134844;57.273587;1.118225;92.59;
35;J0045-7042;11.357042;-70.701972;0.632336;70.00;
36;J0045-7319;11.396500;-73.317500;0.926276;105.40;
37;B0045+33;12.141603;34.202231;1.217094;39.94;
38;J0051+0423;12.875417;4.380278;0.354732;13.90;
39;J0053+69;13.250000;69.650000;0.832938;117.00;
40;J0054+66;13.500000;66.000000;1.390000;15.00;
41;B0052+51;13.939076;51.290270;2.115171;44.12;
42;B0053+47;14.106303;47.936263;0.472037;18.09;
43;J0057-7201;14.433333;-72.021944;0.738062;27.00;
44;J0058+6125;14.500000;61.416667;0.637000;129.00;
45;J0059+50;14.750000;50.033333;0.996009;67.00;
46;J0101-6422;15.296318;-64.375048;0.002573;11.93;
47;J0102+4839;15.750000;48.000000;0.002960;53.50;
48;B0059+65;15.637326;65.620388;1.679164;65.85;
49;J0103+54;15.904167;54.033333;0.354304;55.60;
50;J0106+4855;16.604417;48.931056;0.083157;70.87;
51;J0108-1431;17.034779;-14.530608;0.807565;2.38;
52;B0105+65;17.094364;66.142770;1.283660;30.46;
53;B0105+68;17.122933;69.097952;1.071118;61.09;
54;J0111-7131;17.869875;-71.529667;0.688542;76.00;
55;J0112+66;18.000000;66.366667;4.301240;112.00;
56;J0113-7220;18.296208;-72.342278;0.325883;125.49;
57;B0114+58;19.411088;59.243997;0.101439;49.42;
58;J0125+62;21.500000;62.583333;1.708233;118.00;
59;J0131-7310;22.868792;-73.169261;0.348124;205.20;
60;J0133-6957;23.385250;-69.958244;0.463474;22.95;
